season,episode,act_number,characters_in_act
1,20,4,"[""CLAIRE"", ""KATE"", ""BOONE"", ""JACK"", ""SHANNON"", ""SAYID"", ""CHARLIE"", ""JIN"", ""SUN"", ""HURLEY"", ""CHRISTIAN SHEPHARD"", ""MICHAEL""]"
1,20,5,"[""KATE"", ""CLAIRE"", ""CHARLIE"", ""SUN"", ""JACK"", ""MICHAEL"", ""SARAH"", ""MINISTER"", ""BOONE""]"
1,20,6,"[""JACK"", ""KATE""]"
1,21,1,"[""SAYID"", ""AIRPORT ANNOUNCEMENT"", ""AGENT COLE"", ""AGENT HEWITT"", ""JACK"", ""KATE"", ""SHANNON"", ""LOCKE"", ""CHARLIE""]"
1,21,2,"[""CHARLIE"", ""JACK"", ""KATE"", ""SAWYER"", ""SAYID"", ""SUN"", ""ESSAM"", ""YUSEF"", ""HADDAD"", ""CLAIRE"", ""LOCKE"", ""SHANNON""]"
1,21,3,"[""KATE"", ""JACK"", ""SAYID"", ""LOCKE"", ""ESSAM"", ""AGENT COLE"", ""AGENT HEWITT"", ""CHARLIE"", ""HURLEY""]"
1,21,4,"[""SAYID"", ""LOCKE"", ""ESSAM"", ""SHANNON"", ""WALT"", ""MICHAEL"", ""JIN"", ""CHARLIE"", ""SAWYER"", ""KATE"", ""JACK""]"
1,21,5,"[""HADDAD"", ""SAYID"", ""ESSAM"", ""JACK"", ""LOCKE"", ""SHANNON""]"
1,21,6,"[""SAWYER"", ""CHARLIE"", ""CLAIRE"", ""KATE"", ""SAYID"", ""AGENT COLE"", ""AGENT HEWITT"", ""LOCKE""]"
1,22,1,"[""KATE"", ""SANJAY"", ""CHARLIE"", ""ARZT"", ""MICHAEL"", ""SAWYER"", ""JACK""]"
1,22,2,"[""MICHAEL"", ""KATE"", ""HOSPITAL ANNOUNCEMENT"", ""NURSE"", ""TOM"", ""SUN"", ""JIN"", ""JACK"", ""SAYID"", ""LOCKE"", ""SAWYER"", ""WALT""]"
1,22,3,"[""WALT"", ""KATE"", ""SUN"", ""JACK"", ""LOCKE"", ""SAYID"", ""MICHAEL"", ""TOM""]"
1,22,4,"[""JACK"", ""MICHAEL"", ""HURLEY"", ""LOCKE"", ""CLAIRE"", ""CHARLIE"", ""KATE"", ""TOM"", ""YOUNG TOM"", ""YOUNG KATE"", ""WALT""]"
1,22,5,"[""SAWYER"", ""MICHAEL"", ""KATE"", ""CHARLIE"", ""TOM"", ""DIANE"", ""SECURITY GUARD""]"
1,22,6,"[""JACK"", ""SUN"", ""SAWYER"", ""KATE"", ""WALT"", ""MICHAEL""]"
1,23,1,"[""MICHAEL"", ""WALT"", ""STEVE"", ""SAWYER"", ""SAYID"", ""DANIELLE""]"
1,23,2,"[""DANIELLE"", ""JACK"", ""LOCKE"", ""MICHAEL"", ""JIN"", ""REDSHIRT"", ""SAWYER"", ""WALT"", ""SAYID"", ""HURLEY""]"
1,23,3,"[""ANA LUCIA"", ""JACK"", ""ARZT"", ""MICHAEL"", ""JIN"", ""SAWYER"", ""CALDERWOOD""]"
1,23,4,"[""AUSTRALIAN OFFICIAL"", ""MARSHAL"", ""KATE"", ""JACK"", ""CHARLIE"", ""LOCKE"", ""HURLEY"", ""ARZT"", ""MICHAEL"", ""WALT"", ""JIN"", ""DANIELLE"", ""SAWYER""]"
1,23,5,"[""ARZT"", ""HURLEY"", ""LOCKE"", ""DANIELLE"", ""KATE"", ""JACK"", ""WALT"", ""SHANNON"", ""AIRPORT ANNOUNCEMENT"", ""SAYID"", ""BOONE"", ""AIRPORT COP"", ""SAWYER""]"
1,23,6,"[""JIN"", ""SUN"", ""GINA"", ""JEFF"", ""MICHAEL"", ""WALT""]"
1,24,1,"[""CHARLIE"", ""CLAIRE"", ""SAYID"", ""HURLEY"", ""DANIELLE"", ""ARZT"", ""JACK"", ""LOCKE"", ""KATE""]"
1,24,2,"[""SUN"", ""JIN"", ""AIRPORT COP"", ""SAYID"", ""HAWAIIAN SHIRT"", ""WALT"", ""MICHAEL"", ""SAWYER"", ""SHANNON"", ""KATE"", ""HURLEY"", ""JACK"", ""LOCKE"", ""CHARLIE"", ""CLAIRE"", ""DANIELLE""]"
1,24,3,"[""LILY"", ""CHARLIE"", ""SAYID"", ""SUN"", ""CLAIRE"", ""JACK"", ""LOCKE"", ""KATE"", ""HURLEY"", ""WALT"", ""MICHAEL"", ""SAWYER""]"
1,24,4,"[""MICHAEL"", ""WALT"", ""JIN"", ""SAWYER"", ""KATE"", ""JACK"", ""LOCKE"", ""HURLEY""]"
1,24,5,"[""SUN"", ""SHANNON"", ""CLAIRE"", ""SAYID"", ""CHARLIE"", ""HURLEY"", ""LOCKE""]"
1,24,1,"[""KATE"", ""JACK""]"
1,24,2,"[""JACK"", ""KATE"", ""LOCKE"", ""MICHAEL"", ""JIN"", ""SUN"", ""CLAIRE"", ""CHARLIE"", ""SAYID""]"
1,24,3,"[""HURLEY"", ""CHARLIE"", ""TICKET AGENT"", ""SECURITY AGENT"", ""ARZT"", ""OLD SCOOTER MAN"", ""GATE AGENT"", ""KATE"", ""LOCKE"", ""JACK"", ""MICHAEL"", ""SAWYER""]"
1,24,4,"[""GATE AGENT"", ""LOCKE"", ""JD"", ""MICHELLE"", ""HURLEY"", ""JACK"", ""KATE"", ""CHARLIE"", ""SAYID"", ""DANIELLE"", ""SAWYER"", ""MICHAEL"", ""JIN"", ""WALT"", ""BEARDED MAN""]"
1,24,5,[]
2,1,1,[]
2,1,2,"[""HURLEY"", ""KATE"", ""JACK"", ""LOCKE"", ""EMT"", ""NURSE"", ""INTERN"", ""EMT #2"", ""NURSE #2"", ""SARAH"", ""CHARLIE"", ""N.D. Survivor"", ""SAYID"", ""SHANNON"", ""REDSHIRT""]"
2,1,3,"[""KATE"", ""LOCKE"", ""HURLEY"", ""JACK"", ""SARAH"", ""CHRISTIAN SHEPHARD"", ""SHANNON"", ""SAYID"", ""CLAIRE"", ""CHARLIE"", ""SUN""]"
2,1,4,"[""KATE"", ""JACK"", ""KEVIN"", ""SARAH"", ""LOCKE""]"
2,1,5,"[""HURLEY"", ""JACK"", ""DESMOND"", ""LOCKE""]"
2,1,6,"[""SARAH"", ""JACK"", ""GUNMAN'S VOICE"", ""LOCKE"", ""GUNMAN's VOICE""]"
2,2,1,"[""WALT"", ""MICHAEL"", ""SAWYER"", ""JIN"", ""LOCKE""]"
2,2,2,"[""MICHAEL"", ""SAWYER"", ""ATTORNEY"", ""LOCKE"", ""KATE"", ""DESMOND""]"
2,2,3,"[""MICHAEL"", ""SAWYER"", ""LIZZY"", ""ATTORNEY"", ""DESMOND"", ""LOCKE"", ""KATE""]"
2,2,4,"[""HURLEY"", ""JACK"", ""CLAIRE"", ""CHARLIE"", ""SAWYER"", ""MICHAEL"", ""SUSAN"", ""LOCKE"", ""DESMOND""]"
2,2,5,"[""DESMOND"", ""LOCKE"", ""JACK"", ""MICHAEL"", ""SAWYER""]"
2,2,6,"[""SUSAN"", ""MICHAEL"", ""SAWYER"", ""JIN""]"
2,3,1,"[""MICHAEL"", ""DESMOND"", ""JACK"", ""FRANCINE"", ""MODERATOR"", ""LOCKE"", ""HELEN""]"
2,3,2,"[""DESMOND"", ""JACK"", ""LOCKE"", ""HELEN"", ""COOPER"", ""KATE""]"
2,3,3,"[""HURLEY"", ""SAYID"", ""KATE"", ""SAWYER"", ""JIN"", ""MICHAEL"", ""JACK"", ""LOCKE"", ""MARVIN CANDLE""]"
2,3,4,"[""LOCKE"", ""HELEN"", ""JACK"", ""MICHAEL"", ""SAWYER"", ""ANA LUCIA"", ""DESMOND""]"
2,3,5,"[""LOCKE"", ""HELEN"", ""KATE"", ""HURLEY"", ""SAYID"", ""SAWYER"", ""ANA LUCIA"", ""MICHAEL"", ""LEADER""]"
